
    fishingrod             = { name = 'fishingrod',        label = 'Fishing Rod',     weight = 800, type = 'item', image = 'fishingrod.png', unique = true,  useable = true,  shouldClose = true,  combinable = nil, description = 'A sturdy fishing rod, ready to catch fish.'},
    fishbait               = { name = 'fishbait',          label = 'Fishing Bait',    weight = 50,  type = 'item', image = 'fishbait.png',   unique = false, useable = true,  shouldClose = false, combinable = nil, description = 'Use this to start fishing.'},
    swordfish              = { name = 'swordfish',         label = 'Swordfish',       weight = 200, type = 'item', image = 'swordfish.png',  unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Swordfish caught while fishing.'},
    mahimahi               = { name = 'mahimahi',          label = 'Mahi Mahi',       weight = 200, type = 'item', image = 'mahimahi.png',   unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Mahi Mahi caught while fishing.'},
    marlin                 = { name = 'marlin',            label = 'Marlin',          weight = 200, type = 'item', image = 'marlin.png',     unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Marlin caught while fishing.'},
    tuna                   = { name = 'tuna',              label = 'Tuna',            weight = 200, type = 'item', image = 'tuna.png',       unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Tuna caught while fishing.'},
    salmon                 = { name = 'salmon',            label = 'Salmon',          weight = 200, type = 'item', image = 'salmon.png',     unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Salmon caught while fishing.'},
    mackerel               = { name = 'mackerel',          label = 'Mackerel',        weight = 200, type = 'item', image = 'mackerel.png',   unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Mackerel caught while fishing.'},
    trout                  = { name = 'trout',             label = 'Trout',           weight = 200, type = 'item', image = 'trout.png',      unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Trout caught while fishing.'},
    cod                    = { name = 'cod',               label = 'Cod',             weight = 200, type = 'item', image = 'cod.png',        unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Cod caught while fishing.'},
    carp                   = { name = 'carp',              label = 'Carp',            weight = 200, type = 'item', image = 'carp.png',       unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Carp caught while fishing.'},
    walleye                = { name = 'walleye',           label = 'Walleye',         weight = 200, type = 'item', image = 'walleye.png',    unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Walleye caught while fishing.'},
    catfish                = { name = 'catfish',           label = 'Catfish',         weight = 200, type = 'item', image = 'catfish.png',    unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Catfish caught while fishing.'},
    bass                   = { name = 'bass',              label = 'Bass',            weight = 200, type = 'item', image = 'bass.png',       unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Bass caught while fishing.'},
    perch                  = { name = 'perch',             label = 'Perch',           weight = 200, type = 'item', image = 'perch.png',      unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Perch caught while fishing.'},
    crappie                = { name = 'crappie',           label = 'Crappie',         weight = 200, type = 'item', image = 'crappie.png',    unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Crappie caught while fishing.'},
    bluegill               = { name = 'bluegill',          label = 'Bluegill',        weight = 200, type = 'item', image = 'bluegill.png',   unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Bluegill caught while fishing.'},
    talapia                = { name = 'talapia',           label = 'Talapia',         weight = 200, type = 'item', image = 'talapia.png',    unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A Talapia caught while fishing.'},
    fishbag                = { name = 'fishbag',           label = 'Bag',             weight = 200, type = 'item', image = 'fishbag.png',    unique = false, useable = false, shouldClose = false, combinable = nil, description = 'A bag pulled from the water while fishing.'},
    fishshoe               = { name = 'fishshoe',          label = 'Shoe',            weight = 200, type = 'item', image = 'fishshoe.png',   unique = false, useable = false, shouldClose = false, combinable = nil, description = 'An old shoe caught while fishing.'},
